TimestampS,WaitTimeUs,CPU
94.742,15625,0
94.776,15625,0
94.809,15625,0
94.838,15625,0
94.859,15625,0
94.883,15625,0
94.976,15625,0
95.009,15625,0
95.073,15625,0
95.293,15625,0
95.319,15625,0
95.384,15625,0
95.492,15625,0
95.509,15625,0
95.542,15625,0
95.557,15625,0
95.622,15625,0
95.636,15625,0
95.709,15625,0
95.776,15625,0
95.787,15625,0
95.806,15625,0
95.826,15625,0
95.843,15625,0
95.989,15625,0
96.085,15625,0
96.124,15625,0
96.163,15625,0
96.191,15625,0
96.275,15625,0
96.309,15625,0
96.318,15625,0
96.338,15625,0
96.459,15625,0
96.476,15625,0
96.541,15625,0
96.693,15625,0
96.726,15625,0
96.743,15625,0
96.822,15625,0
96.864,15625,0
96.918,15625,0
96.943,15625,0
96.992,15625,0
97.137,15625,0
97.159,15625,0
97.209,15625,0
97.365,15625,0
97.600,15625,0
97.637,15625,0
97.659,15625,0
97.663,15625,0
97.726,15625,0
97.789,15625,0
97.818,15625,0
97.851,15625,0
97.869,15625,0
97.909,15625,0
97.993,15625,0
98.105,15625,0
98.126,15625,0
98.132,15625,0
98.243,15625,0
98.259,15625,0
98.307,15625,0
98.375,15625,0
98.398,15625,0
98.492,15625,0
98.543,15625,0
98.625,15625,0
98.650,15625,0
98.740,15625,0
98.793,15625,0
98.803,15625,0
98.865,15625,0
98.887,15625,0
98.907,15625,0
98.926,15625,0
98.928,15625,0
98.976,15625,0
98.993,15625,0
99.009,15625,0
99.042,15625,0
99.055,15625,0
99.092,15625,0
99.151,15625,0
99.181,15625,0
99.209,15625,0
99.260,15625,0
99.276,15625,0
99.308,15625,0
99.318,15625,0
99.334,15625,0
99.351,15625,0
99.445,15625,0
99.493,15625,0
99.599,15625,0
99.709,15625,0
99.822,15625,0
99.860,15625,0
99.869,15625,0
99.915,15625,0
99.959,15625,0
100.052,15625,0
100.117,15625,0
100.138,15625,0
100.176,15625,0
100.243,15625,0
100.308,15625,0
100.338,15625,0
100.350,15625,0
100.452,15625,0
100.475,15625,0
100.493,15625,0
100.509,15625,0
100.593,15625,0
100.635,15625,0
100.659,15625,0
100.663,15625,0
100.759,15625,0
100.826,15625,0
100.892,15625,0
100.943,15625,0
100.959,15625,0
100.976,15625,0
100.993,15625,0
101.145,15625,0
101.186,15625,0
101.202,15625,0
101.208,15625,0
101.226,15625,0
101.244,15625,0
101.259,15625,0
101.304,15625,0
101.337,15625,0
101.524,15625,0
101.588,15625,0
101.605,15625,0
101.633,15625,0
101.655,15625,0
101.676,15625,0
101.682,15625,0
101.726,15625,0
101.759,15625,0
101.793,15625,0
101.804,15625,0
101.819,15625,0
101.841,15625,0
101.855,15625,0
101.868,15625,0
101.884,15625,0
102.126,15625,0
102.146,15625,0
102.166,15625,0
102.274,15625,0
102.357,15625,0
102.381,15625,0
102.443,15625,0
102.459,15625,0
102.558,15625,0
102.693,15625,0
102.743,15625,0
102.792,15625,0
102.841,15625,0
102.859,15625,0
102.903,15625,0
102.991,15625,0
103.043,15625,0
103.052,15625,0
103.193,15625,0
103.259,15625,0
103.459,15625,0
103.492,15625,0
103.525,15625,0
103.558,15625,0
103.636,15625,0
103.647,15625,0
103.709,15625,0
103.789,15625,0
103.809,15625,0
103.835,15625,0
103.903,15625,0
